sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13
2988.0,2234.0,3088.0,-0.31,5.09,7.53,0.09,-0.06,-0.05,4095.0,4095.0,3618.0,2971.0,4095.0
3774.0,4095.0,3344.0,-0.62,4.85,6.98,0.04,0.33,-0.28,4095.0,4095.0,4095.0,4095.0,4095.0
2626.0,2389.0,2965.0,-0.65,4.62,7.93,0.15,0.19,-0.54,3645.0,3744.0,4095.0,3394.0,4095.0
4095.0,4095.0,4095.0,-0.28,4.29,9.46,-0.1,-0.0,0.0,3952.0,3984.0,4095.0,3606.0,4095.0
2383.0,2195.0,2896.0,-0.52,4.04,8.46,0.15,-0.13,0.14,3402.0,3569.0,3521.0,2695.0,3379.0
2079.0,2217.0,3055.0,-0.5,4.7,8.55,-0.91,0.08,-0.04,2791.0,4023.0,3911.0,3184.0,4095.0
2950.0,2070.0,2928.0,0.12,5.08,7.85,-0.35,-0.37,0.47,2977.0,3583.0,3417.0,2713.0,3840.0
3133.0,2127.0,2853.0,-1.15,4.24,8.0,-0.14,-0.05,0.11,3104.0,3056.0,3070.0,2415.0,3321.0
3189.0,2064.0,2723.0,-1.44,3.9,6.91,-0.34,0.19,-0.12,3776.0,2959.0,3024.0,2466.0,3868.0
1366.0,2319.0,3005.0,-0.59,3.21,9.14,-0.09,0.05,0.01,4095.0,4095.0,4095.0,4095.0,4095.0
1942.0,2384.0,3028.0,-0.77,3.42,8.68,0.04,0.01,-0.08,4095.0,4095.0,4095.0,4095.0,4095.0
2318.0,2247.0,3024.0,-0.82,3.48,8.42,0.01,0.0,-0.0,4095.0,4095.0,4095.0,4095.0,4095.0
2559.0,2240.0,3038.0,-0.65,3.31,8.95,-0.05,0.03,-0.03,4095.0,4095.0,4095.0,4095.0,4095.0
2449.0,2209.0,3010.0,-0.22,3.53,8.58,-0.13,0.07,-0.13,4095.0,4095.0,4095.0,4095.0,4095.0
2361.0,2254.0,3023.0,-0.54,3.65,8.6,0.0,0.03,-0.02,4095.0,4095.0,4095.0,4095.0,4095.0
2358.0,2227.0,3007.0,-0.89,3.7,8.81,-0.04,0.02,0.02,4095.0,4095.0,4095.0,4095.0,4095.0
2243.0,2227.0,3007.0,-0.91,3.77,8.63,-0.07,0.04,-0.07,4095.0,4095.0,4095.0,4095.0,4095.0
2167.0,2231.0,3010.0,-0.93,3.74,8.59,-0.02,0.02,-0.02,4095.0,4095.0,4095.0,4095.0,4095.0
2133.0,2263.0,3024.0,-0.7,3.81,8.65,-0.02,-0.0,-0.01,4095.0,4095.0,4095.0,4095.0,4095.0
2054.0,2302.0,3002.0,-1.13,3.91,8.62,0.1,0.01,-0.0,4095.0,4095.0,4095.0,4095.0,4095.0
2058.0,2364.0,3013.0,-0.79,3.9,8.45,-0.02,-0.0,-0.01,4095.0,4095.0,4095.0,4095.0,4095.0
2203.0,2438.0,3009.0,-1.02,3.87,8.65,0.06,0.03,0.02,4095.0,4095.0,4095.0,4095.0,4095.0
2064.0,2485.0,3018.0,-0.6,3.93,8.2,-0.07,-0.02,-0.0,4095.0,4095.0,4095.0,4095.0,4095.0
2064.0,2528.0,3008.0,-0.7,3.94,8.45,-0.03,0.01,-0.01,4095.0,4095.0,4095.0,4095.0,4095.0
2095.0,2589.0,3007.0,-0.92,3.95,8.48,-0.0,0.0,0.0,4095.0,4095.0,4095.0,4095.0,4095.0
2063.0,2608.0,3017.0,-0.67,3.97,8.31,-0.02,0.03,-0.05,4095.0,4095.0,4095.0,4095.0,4095.0
2035.0,2631.0,3014.0,-0.83,3.89,8.42,-0.08,-0.02,-0.02,4095.0,4095.0,4095.0,4095.0,4095.0
2667.0,3229.0,2971.0,-0.84,4.08,8.51,0.05,-0.02,-0.05,4095.0,4095.0,4095.0,4095.0,4095.0
2815.0,3098.0,2949.0,-0.96,4.1,8.36,0.08,-0.02,0.03,4095.0,4095.0,4095.0,4095.0,4095.0
2800.0,2962.0,2944.0,-0.99,4.14,8.47,-0.03,-0.01,-0.04,4095.0,4095.0,4095.0,4095.0,4095.0
2741.0,2785.0,2944.0,-1.0,4.1,8.32,-0.0,-0.02,0.0,4095.0,4095.0,4095.0,4095.0,4095.0
2606.0,2474.0,2947.0,-1.09,4.24,8.29,0.13,-0.04,-0.03,4095.0,4095.0,4095.0,4095.0,4095.0
2160.0,2450.0,2962.0,-0.9,4.17,8.67,-0.07,0.11,0.01,4095.0,4095.0,4095.0,4095.0,4095.0
2369.0,2353.0,2971.0,-0.52,3.98,8.7,-0.08,-0.01,0.11,4095.0,4095.0,4095.0,4095.0,4095.0
2363.0,2422.0,2989.0,-0.89,4.25,7.86,0.01,-0.18,0.04,4095.0,4095.0,4095.0,4095.0,4095.0
